"","country","year","hourly_compensation"
"1","Australia","1980.0",8.4399995803833
"2","Austria","1980.0",8.86999988555908
"3","Belgium","1980.0",11.7399997711182
"4","Canada","1980.0",8.86999988555908
"5","Denmark","1980.0",10.8299999237061
"6","Finland","1980.0",8.60999965667725
"7","France","1980.0",8.89999961853027
"8","Greece","1980.0",3.72000002861023
"9","Hong Kong, China","1980.0",1.5
"10","Ireland","1980.0",6.44000005722046
"11","Israel","1980.0",3.41000008583069
"12","Italy","1980.0",8.09000015258789
"13","Japan","1980.0",5.46000003814697
"14","Korea, Rep.","1980.0",0.94999998807907
"15","Luxembourg","1980.0",11.4799995422363
"16","Mexico","1980.0",2.20000004768372
"17","Netherlands","1980.0",12.0500001907349
"18","New Zealand","1980.0",5.44000005722046
"19","Norway","1980.0",11.8000001907349
"20","Portugal","1980.0",1.99000000953674
"21","Singapore","1980.0",1.53999996185303
"22","Spain","1980.0",5.8600001335144
"23","Sri Lanka","1980.0",0.21999999880791
"24","Sweden","1980.0",12.3999996185303
"25","Switzerland","1980.0",10.960000038147
"26","Taiwan","1980.0",1.02999997138977
"27","United Kingdom","1980.0",7.51999998092651
"28","United States","1980.0",9.63000011444092
"29","Australia","1981.0",9.76000022888184
"30","Austria","1981.0",7.76999998092651
"31","Belgium","1981.0",10.2799997329712
"32","Canada","1981.0",9.78999996185303
"33","Denmark","1981.0",9.35999965667725
"34","Finland","1981.0",8.32999992370606
"35","France","1981.0",7.98000001907349
"36","Greece","1981.0",3.65000009536743
"37","Hong Kong, China","1981.0",1.54999995231628
"38","Ireland","1981.0",5.96999979019165
"39","Israel","1981.0",3.75
"40","Italy","1981.0",7.51999998092651
"41","Japan","1981.0",6.01999998092651
"42","Korea, Rep.","1981.0",1.00999999046326
"43","Luxembourg","1981.0",9.42000007629394
"44","Mexico","1981.0",2.80999994277954
"45","Netherlands","1981.0",9.89000034332275
"46","New Zealand","1981.0",5.80999994277954
"47","Norway","1981.0",11.210000038147
"48","Portugal","1981.0",1.97000002861023
"49","Singapore","1981.0",1.86000001430511
"50","Spain","1981.0",5.51999998092651
"51","Sri Lanka","1981.0",0.20999999344349
"52","Sweden","1981.0",11.6999998092651
"53","Switzerland","1981.0",10.0100002288818
"54","Taiwan","1981.0",1.22000002861023
"55","United Kingdom","1981.0",7.26999998092651
"56","United States","1981.0",10.6199998855591
"57","Australia","1982.0",9.9399995803833
"58","Austria","1982.0",7.76000022888184
"59","Belgium","1982.0",8.93000030517578
"60","Canada","1982.0",10.6999998092651
"61","Denmark","1982.0",8.84000015258789
"62","Finland","1982.0",8.26000022888184
"63","France","1982.0",7.73999977111816
"64","Greece","1982.0",4.09999990463257
"65","Hong Kong, China","1982.0",1.64999997615814
"66","Ireland","1982.0",6.07000017166138
"67","Israel","1982.0",3.98000001907349
"68","Italy","1982.0",7.38000011444092
"69","Japan","1982.0",5.55000019073486
"70","Korea, Rep.","1982.0",1.08000004291534
"71","Luxembourg","1982.0",8.22000026702881
"72","Mexico","1982.0",1.96000003814697
"73","Netherlands","1982.0",9.77000045776367
"74","New Zealand","1982.0",5.73999977111816
"75","Norway","1982.0",11.0299997329712
"76","Portugal","1982.0",1.82000005245209
"77","Singapore","1982.0",2.01999998092651
"78","Spain","1982.0",5.26000022888184
"79","Sri Lanka","1982.0",0.23999999463558
"80","Sweden","1982.0",9.98999977111816
"81","Switzerland","1982.0",10.3100004196167
"82","Taiwan","1982.0",1.25
"83","United Kingdom","1982.0",6.86999988555908
"84","United States","1982.0",11.4300003051758
"85","Australia","1983.0",9.27000045776367
"86","Austria","1983.0",7.78999996185303
"87","Belgium","1983.0",8.52999973297119
"88","Canada","1983.0",11.4099998474121
"89","Denmark","1983.0",8.57999992370606
"90","Finland","1983.0",7.71000003814697
"91","France","1983.0",7.65999984741211
"92","Greece","1983.0",3.76999998092651
"93","Hong Kong, China","1983.0",1.50999999046326
"94","Ireland","1983.0",6
"95","Israel","1983.0",4.38000011444092
"96","Italy","1983.0",7.6399998664856
"97","Japan","1983.0",5.96999979019165
"98","Korea, Rep.","1983.0",1.13999998569489
"99","Luxembourg","1983.0",7.76999998092651
"100","Mexico","1983.0",1.4099999666214
"101","Netherlands","1983.0",9.47999954223633
"102","New Zealand","1983.0",5.30000019073486
"103","Norway","1983.0",10.4499998092651
"104","Portugal","1983.0",1.57000005245209
