"","Species","Part","Measure","Value"
"1","setosa","Sepal","Length",5.1
"2","setosa","Sepal","Length",4.9
"3","setosa","Sepal","Length",4.7
"4","setosa","Sepal","Length",4.6
"5","setosa","Sepal","Length",5
"6","setosa","Sepal","Length",5.4
"7","setosa","Sepal","Length",4.6
"8","setosa","Sepal","Length",5
"9","setosa","Sepal","Length",4.4
"10","setosa","Sepal","Length",4.9
"11","setosa","Sepal","Length",5.4
"12","setosa","Sepal","Length",4.8
"13","setosa","Sepal","Length",4.8
"14","setosa","Sepal","Length",4.3
"15","setosa","Sepal","Length",5.8
"16","setosa","Sepal","Length",5.7
"17","setosa","Sepal","Length",5.4
"18","setosa","Sepal","Length",5.1
"19","setosa","Sepal","Length",5.7
"20","setosa","Sepal","Length",5.1
"21","setosa","Sepal","Length",5.4
"22","setosa","Sepal","Length",5.1
"23","setosa","Sepal","Length",4.6
"24","setosa","Sepal","Length",5.1
"25","setosa","Sepal","Length",4.8
"26","setosa","Sepal","Length",5
"27","setosa","Sepal","Length",5
"28","setosa","Sepal","Length",5.2
"29","setosa","Sepal","Length",5.2
"30","setosa","Sepal","Length",4.7
"31","setosa","Sepal","Length",4.8
"32","setosa","Sepal","Length",5.4
"33","setosa","Sepal","Length",5.2
"34","setosa","Sepal","Length",5.5
"35","setosa","Sepal","Length",4.9
"36","setosa","Sepal","Length",5
"37","setosa","Sepal","Length",5.5
"38","setosa","Sepal","Length",4.9
"39","setosa","Sepal","Length",4.4
"40","setosa","Sepal","Length",5.1
"41","setosa","Sepal","Length",5
"42","setosa","Sepal","Length",4.5
"43","setosa","Sepal","Length",4.4
"44","setosa","Sepal","Length",5
"45","setosa","Sepal","Length",5.1
"46","setosa","Sepal","Length",4.8
"47","setosa","Sepal","Length",5.1
"48","setosa","Sepal","Length",4.6
"49","setosa","Sepal","Length",5.3
"50","setosa","Sepal","Length",5
"51","versicolor","Sepal","Length",7
"52","versicolor","Sepal","Length",6.4
"53","versicolor","Sepal","Length",6.9
"54","versicolor","Sepal","Length",5.5
"55","versicolor","Sepal","Length",6.5
"56","versicolor","Sepal","Length",5.7
"57","versicolor","Sepal","Length",6.3
"58","versicolor","Sepal","Length",4.9
"59","versicolor","Sepal","Length",6.6
"60","versicolor","Sepal","Length",5.2
"61","versicolor","Sepal","Length",5
"62","versicolor","Sepal","Length",5.9
"63","versicolor","Sepal","Length",6
"64","versicolor","Sepal","Length",6.1
"65","versicolor","Sepal","Length",5.6
"66","versicolor","Sepal","Length",6.7
"67","versicolor","Sepal","Length",5.6
"68","versicolor","Sepal","Length",5.8
"69","versicolor","Sepal","Length",6.2
"70","versicolor","Sepal","Length",5.6
"71","versicolor","Sepal","Length",5.9
"72","versicolor","Sepal","Length",6.1
"73","versicolor","Sepal","Length",6.3
"74","versicolor","Sepal","Length",6.1
"75","versicolor","Sepal","Length",6.4
"76","versicolor","Sepal","Length",6.6
"77","versicolor","Sepal","Length",6.8
"78","versicolor","Sepal","Length",6.7
"79","versicolor","Sepal","Length",6
"80","versicolor","Sepal","Length",5.7
"81","versicolor","Sepal","Length",5.5
"82","versicolor","Sepal","Length",5.5
"83","versicolor","Sepal","Length",5.8
"84","versicolor","Sepal","Length",6
"85","versicolor","Sepal","Length",5.4
"86","versicolor","Sepal","Length",6
"87","versicolor","Sepal","Length",6.7
"88","versicolor","Sepal","Length",6.3
"89","versicolor","Sepal","Length",5.6
"90","versicolor","Sepal","Length",5.5
"91","versicolor","Sepal","Length",5.5
"92","versicolor","Sepal","Length",6.1
"93","versicolor","Sepal","Length",5.8
"94","versicolor","Sepal","Length",5
"95","versicolor","Sepal","Length",5.6
"96","versicolor","Sepal","Length",5.7
"97","versicolor","Sepal","Length",5.7
"98","versicolor","Sepal","Length",6.2
"99","versicolor","Sepal","Length",5.1
"100","versicolor","Sepal","Length",5.7
"101","virginica","Sepal","Length",6.3
"102","virginica","Sepal","Length",5.8
"103","virginica","Sepal","Length",7.1
"104","virginica","Sepal","Length",6.3
"105","virginica","Sepal","Length",6.5
"106","virginica","Sepal","Length",7.6
"107","virginica","Sepal","Length",4.9
"108","virginica","Sepal","Length",7.3
"109","virginica","Sepal","Length",6.7
"110","virginica","Sepal","Length",7.2
"111","virginica","Sepal","Length",6.5
"112","virginica","Sepal","Length",6.4
"113","virginica","Sepal","Length",6.8
"114","virginica","Sepal","Length",5.7
"115","virginica","Sepal","Length",5.8
"116","virginica","Sepal","Length",6.4
"117","virginica","Sepal","Length",6.5
"118","virginica","Sepal","Length",7.7
"119","virginica","Sepal","Length",7.7
"120","virginica","Sepal","Length",6
"121","virginica","Sepal","Length",6.9
"122","virginica","Sepal","Length",5.6
"123","virginica","Sepal","Length",7.7
"124","virginica","Sepal","Length",6.3
"125","virginica","Sepal","Length",6.7
"126","virginica","Sepal","Length",7.2
"127","virginica","Sepal","Length",6.2
"128","virginica","Sepal","Length",6.1
"129","virginica","Sepal","Length",6.4
"130","virginica","Sepal","Length",7.2
"131","virginica","Sepal","Length",7.4
"132","virginica","Sepal","Length",7.9
"133","virginica","Sepal","Length",6.4
"134","virginica","Sepal","Length",6.3
"135","virginica","Sepal","Length",6.1
"136","virginica","Sepal","Length",7.7
"137","virginica","Sepal","Length",6.3
"138","virginica","Sepal","Length",6.4
"139","virginica","Sepal","Length",6
