"lon","lat","price","finished_squarefeet","year_built","date","address","city","state","zip","acres","num_dwellings","class","condition","total_squarefeet","bedrooms","full_baths","half_baths","month","address_city"
-123.280349,44.578079,267500,1520,1967,2015-12-31,"1112 NW 26TH ST","CORVALLIS","OR","97330-4331",0.18,1,"Dwelling","AV",2192,5,2,0,12,"1112 NW 26TH ST, CORVALLIS, OR"
-123.2330056,44.5971776,255000,1665,1990,2015-12-31,"1221 NE CONROY PL","CORVALLIS","OR","97330",0.13,1,"Dwelling","AV",2193,3,2,1,12,"1221 NE CONROY PL, CORVALLIS, OR"
-123.263518,44.5692329,295000,1440,1948,2015-12-31,"440 NW 7TH ST","CORVALLIS","OR","97330-6308",0.12,1,"Dwelling","G",1860,3,2,0,12,"440 NW 7TH ST, CORVALLIS, OR"
-123.259873,44.594534,5000,784,1978,2015-12-31,"2655 NW HIGHLAND DR SPACE 104","CORVALLIS","OR","97330-3654",0,1,"Mobile Home","F",784,0,1,0,12,"2655 NW HIGHLAND DR SPACE 104, CORVALLIS, OR"
-123.263154,44.536056,13950,1344,1979,2015-12-31,"300 SE GOODNIGHT AVE SPACE 7","CORVALLIS","OR","97333-2163",0,1,"Mobile Home","AV",1344,0,2,0,12,"300 SE GOODNIGHT AVE SPACE 7, CORVALLIS, OR"
-123.284723,44.598765,233000,1567,2002,2015-12-30,"3006 NW MORNING GLORY DR","CORVALLIS","OR","97330",0.04,1,"Dwelling","AV",2007,3,2,1,12,"3006 NW MORNING GLORY DR, CORVALLIS, OR"
-123.236332,44.603042,245000,1174,1972,2015-12-30,"3545 NE CANTERBURY CIR","CORVALLIS","OR","97330-4007",0.23,1,"Dwelling","G",1678,3,1,1,12,"3545 NE CANTERBURY CIR, CORVALLIS, OR"
-123.266215,44.593486,216000,912,1970,2015-12-30,"1236 NW WALNUT BLVD","CORVALLIS","OR","97330-3605",0.22,1,"Dwelling","AV",1440,3,1,0,12,"1236 NW WALNUT BLVD, CORVALLIS, OR"
-123.2842478,44.5986974,231000,1404,2002,2015-12-29,"2997 NW MORNING GLORY DR","CORVALLIS","OR","97330",0.03,1,"Dwelling","AV",1604,3,2,1,12,"2997 NW MORNING GLORY DR, CORVALLIS, OR"
-123.3094688,44.5519677,215000,1060,1959,2015-12-29,"5075 SW PHILOMATH BLVD","CORVALLIS","OR","97333",0.44,1,"Dwelling","G",2010,3,1,1,12,"5075 SW PHILOMATH BLVD, CORVALLIS, OR"
-123.260153,44.595555,307000,1500,1998,2015-12-29,"941 NW ANJNI CIR","CORVALLIS","OR","97330",0.12,1,"Dwelling","AV",2124,3,2,1,12,"941 NW ANJNI CIR, CORVALLIS, OR"
-123.292598,44.594582,385000,1883,1971,2015-12-24,"3763 NW CAMAS PL","CORVALLIS","OR","97330-3414",0.2,1,"Dwelling","G",2366,5,3,0,12,"3763 NW CAMAS PL, CORVALLIS, OR"
-123.2463352,44.5946242,70000,1512,1998,2015-12-24,"2601 NE JACK LONDON ST SPACE 113","CORVALLIS","OR","97330",0,1,"Mobile Home","AV",1824,0,2,0,12,"2601 NE JACK LONDON ST SPACE 113, CORVALLIS, OR"
-123.272113,44.570883,435350,2822,1938,2015-12-23,"411 NW 16TH ST","CORVALLIS","OR","97330-5706",0.11,1,"Dwelling","G",3062,6,3,0,12,"411 NW 16TH ST, CORVALLIS, OR"
-123.24968,44.590523,3000,540,1963,2015-12-23,"755 NE CIRCLE BLVD SPACE 19","CORVALLIS","OR","97330",0,1,"Mobile Home","G",540,0,1,0,12,"755 NE CIRCLE BLVD SPACE 19, CORVALLIS, OR"
-123.22785,44.597,2e+05,1855,1972,2015-12-21,"2150 NE CONIFER BLVD","CORVALLIS","OR","97330",1,1,"Dwelling","F",3495,4,2,1,12,"2150 NE CONIFER BLVD, CORVALLIS, OR"
-123.2759501,44.5837454,295900,1960,1967,2015-12-21,"1637 TO 1639 NW KINGS BLVD","CORVALLIS","OR","97330",0.13,1,"Dwelling","AV",2680,5,2,1,12,"1637 TO 1639 NW KINGS BLVD, CORVALLIS, OR"
-123.300568,44.5546821,193000,1316,1952,2015-12-18,"4345 SW PHILOMATH BLVD","CORVALLIS","OR","97333",0.25,1,"Dwelling","AV",1627,3,1,0,12,"4345 SW PHILOMATH BLVD, CORVALLIS, OR"
-123.230366,44.590765,243000,1872,1965,2015-12-18,"1964 NE SEAVY AVE","CORVALLIS","OR","97330-4246",0.34,1,"Dwelling","AV",2352,3,2,0,12,"1964 NE SEAVY AVE, CORVALLIS, OR"
-123.274744,44.572145,279900,2278,1926,2015-12-18,"447 NW KINGS BLVD","CORVALLIS","OR","97330",0.17,1,"Dwelling","AV",2926,3,2,0,12,"447 NW KINGS BLVD, CORVALLIS, OR"
-123.288138,44.579004,349000,1875,1890,2015-12-18,"3333 NW GRANT AVE","CORVALLIS","OR","97330-2347",0.33,1,"Dwelling","G",2163,3,1,0,12,"3333 NW GRANT AVE, CORVALLIS, OR"
-123.300357,44.544084,525000,2873,2004,2015-12-17,"2145 SW 45TH ST","CORVALLIS","OR","97333",0.17,1,"Dwelling","AV",3641,3,2,1,12,"2145 SW 45TH ST, CORVALLIS, OR"
-123.25971,44.600916,387000,2216,1976,2015-12-17,"3446 NW MAXINE CIR","CORVALLIS","OR","97330-3728",0.3,1,"Dwelling","G",2792,4,3,0,12,"3446 NW MAXINE CIR, CORVALLIS, OR"
-123.263669,44.543135,190000,2568,1961,2015-12-15,"330 SE VIEWMONT AVE","CORVALLIS","OR","97333",0.3,1,"Dwelling","AV",3064,5,2,0,12,"330 SE VIEWMONT AVE, CORVALLIS, OR"
-123.289797,44.5522149,16465,1282,1993,2015-12-15,"1431 SW BIRDIE DR","CORVALLIS","OR","97333",0.15,1,"Dwelling","G",1682,3,2,0,12,"1431 SW BIRDIE DR, CORVALLIS, OR"
-123.295838,44.547461,752700,4258,2007,2015-12-15,"1740 SW PINEHURST PL","CORVALLIS","OR","97333",0.22,1,"Dwelling","AV",5207,3,3,1,12,"1740 SW PINEHURST PL, CORVALLIS, OR"
-123.2470836,44.5892185,1e+07,0,NA,2015-12-15,"2120 NE JACK LONDON ST","CORVALLIS","OR","97330",0.18,0,NA,"0",0,0,0,0,12,"2120 NE JACK LONDON ST, CORVALLIS, OR"
-123.2462276,44.5914208,1e+07,0,NA,2015-12-15,"2121 NE JACK LONDON ST","CORVALLIS","OR","97330",0,0,"Commercial","AV",10,0,0,0,12,"2121 NE JACK LONDON ST, CORVALLIS, OR"
-123.2462276,44.5914208,1e+07,0,1997,2015-12-15,"2121 NE JACK LONDON ST BLDG A-B","CORVALLIS","OR","97330",10.19,0,"Commercial","0",192991,0,0,0,12,"2121 NE JACK LONDON ST BLDG A-B, CORVALLIS, OR"
-123.2594681,44.5915734,240000,1058,1968,2015-12-15,"972 NW CYPRESS AVE","CORVALLIS","OR","97330",0.22,1,"Dwelling","AV",1562,3,1,0,12,"972 NW CYPRESS AVE, CORVALLIS, OR"
-123.28484,44.57479,145845,1388,1949,2015-12-15,"3007 NW TAYLOR AVE","CORVALLIS","OR","97330-5128",0.15,1,"Dwelling","F",2690,3,2,0,12,"3007 NW TAYLOR AVE, CORVALLIS, OR"
-123.255081,44.592465,340000,2128,1971,2015-12-15,"603 NW LINDEN AVE","CORVALLIS","OR","97330",0.23,1,"Dwelling","AV",2940,5,3,0,12,"603 NW LINDEN AVE, CORVALLIS, OR"
-123.26979,44.5726159,256500,0,1905,2015-12-14,"626 NW 14TH ST","CORVALLIS","OR","97330-5912",0.11,2,"Dwelling","0",2608,0,0,0,12,"626 NW 14TH ST, CORVALLIS, OR"
-123.2470836,44.5892185,1e+07,0,NA,2015-12-11,"2120 NE JACK LONDON ST","CORVALLIS","OR","97330",0.18,0,NA,"0",0,0,0,0,12,"2120 NE JACK LONDON ST, CORVALLIS, OR"
