"","Survived","Pclass","Sex","Age"
"555","0",3,1,42
"147","1",2,1,1
"140","0",3,1,21
"652","0",3,1,30.5
"290","0",2,1,29
"412","1",2,0,34
"84","1",3,0,21
"176","1",1,0,32
"156","1",1,0,44
"110","0",1,1,37
"179","0",2,1,27
"407","1",3,1,29
"2","1",1,0,38
"420","0",3,1,39
"391","1",3,1,9
"326","0",3,1,28
"385","0",3,1,50
"618","1",2,0,54
"222","1",1,0,63
"703","0",3,1,19
"573","1",2,0,6
"327","0",3,0,20
"427","1",1,0,30
"525","0",3,1,36
"677","0",3,1,35
"536","1",3,0,18
"606","0",3,1,34
"142","0",3,1,18
"486","0",3,1,34
"547","1",1,0,15
"697","1",1,0,47
"414","0",3,1,32
"467","0",3,1,22
"503","1",2,0,28
"22","0",3,0,8
"599","1",3,1,6
"470","0",3,1,47
"517","0",3,0,18
"225","1",3,0,35
"358","1",1,1,4
"70","0",3,1,29
"271","1",1,0,41
"613","0",3,0,30.5
"455","0",3,1,16
"537","0",3,0,43
"20","1",3,0,15
"670","1",3,1,32
"367","0",1,1,65
"94","0",1,1,24
"632","0",3,1,25
"299","0",1,1,22
"346","1",2,0,42
"671","0",3,1,20
"647","1",1,0,33
"124","0",3,1,55.5
"61","1",3,0,30
"601","0",3,1,23
"186","1",1,0,35
"129","0",3,1,44
"679","0",3,1,4
"231","1",3,1,30
"283","0",3,1,23
"52","1",3,0,17
"362","1",1,1,52
"544","0",3,1,14
"237","0",2,1,36
"36","0",3,0,18
"673","1",1,0,30
"395","0",3,1,21
"139","1",3,0,1
"487","0",3,0,26
"375","1",3,0,0.75
"312","1",2,0,17
"14","0",3,0,14
"433","0",1,1,50
"411","0",1,1,47
"510","1",3,0,0.75
"423","0",3,1,17
"308","1",1,0,35
"642","1",3,1,27
"315","0",3,1,28
"681","0",3,0,9
"86","0",1,1,47
"5","0",3,1,35
"614","0",3,1,32
"54","0",2,1,32
"688","0",3,1,41
"471","0",2,1,37
"587","0",3,0,48
"600","0",3,1,33
"69","0",3,1,24
"648","0",3,1,26
"707","0",3,0,22
"657","1",1,0,52
"135","0",3,0,45
"619","0",3,1,18
"259","0",3,1,27
"588","1",1,1,35
"261","1",2,0,22
"333","1",3,1,44
"546","0",3,1,18
"105","0",3,0,47
"509","0",3,0,2
"208","1",1,0,30
"108","0",2,1,23
"197","0",3,1,30
"302","0",1,1,27
"43","0",3,1,28.5
"616","0",3,1,48
"466","1",1,1,60
"328","0",2,1,34
"187","0",3,1,29
"711","0",2,1,27
"359","1",2,0,13
"701","1",3,0,15
"682","1",1,0,16
"674","0",3,1,34.5
"245","1",1,0,17
"492","1",3,1,20
"698","0",1,1,33
"273","0",1,1,45
"603","1",2,1,0.67
"320","0",2,1,46
"434","0",1,1,64
"393","0",1,1,55
"569","0",3,1,19
"200","1",2,0,24
"195","0",2,1,29
"257","1",1,0,40
"329","0",3,1,51
"73","0",3,1,26
"189","1",3,0,5
"26","0",2,1,66
"133","0",3,1,1
"221","0",1,1,37
"191","0",2,1,44
"534","0",3,1,18
"131","0",3,1,26
"522","1",1,1,50
"482","1",1,0,40
"653","0",3,0,23
"220","1",2,0,41
"235","1",1,0,26
"149","1",1,1,45
"691","0",2,1,24
"668","1",1,0,39
"3","1",3,0,26
"687","1",3,0,24
"46","0",3,1,22
"182","0",3,1,22
"543","0",2,1,25
"256","1",1,0,31
"463","0",1,1,36
"505","0",2,1,31
"548","1",1,1,31
"633","0",2,1,39
"172","0",2,1,30
"97","0",2,1,32.5
"175","0",2,1,42
"479","0",3,1,30
"672","0",2,1,16
"174","1",3,0,27
"306","1",3,0,1
"32","0",3,0,40
"18","0",2,1,35
"419","1",2,0,50
"167","1",3,0,16
"232","0",3,1,22
"621","1",1,0,43
"83","0",3,1,28
"236","1",1,0,19
"65","1",2,0,17
"164","0",3,0,2
"180","0",3,1,51
"63","1",3,1,29
"709","0",3,1,25
"397","0",1,0,25
"478","0",3,1,36
"11","1",1,0,58
"634","1",1,0,49
"27","0",1,1,28
"493","0",3,1,21
"530","1",2,0,40
"574","0",3,1,17
"297","0",3,1,18
"71","0",3,1,20
"591","0",3,1,24
"145","0",3,1,36
"549","1",3,0,4
"340","0",3,0,28
"661","0",3,1,2
"106","1",2,0,29
"365","1",1,1,49
"91","0",3,1,21
"9","1",2,0,14
"409","1",1,0,54
"443","1",1,0,48
"120","0",2,1,36.5
"211","1",3,1,3
"641","1",3,1,0.42
"476","0",3,1,44
"516","0",3,1,21
"440","1",3,1,22
"625","0",3,1,25
"7","0",3,1,2
"284","0",3,1,15
"230","0",3,1,33
"640","1",1,1,11
"59","0",3,1,25
"413","1",2,0,36
"360","1",1,1,34
"241","0",1,0,2
"269","0",3,1,16
"441","1",3,0,22
