"","X","age","workclass","fnlwgt","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","income"
"20641",21881,24,"Private",163665,13,"Never-married","Other-service","Own-child","White","Female",0,0,40,0
"22920",24285,57,"Self-emp-not-inc",56480,9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,1,0
"14398",15260,60,"Private",114263,13,"Divorced","Exec-managerial","Not-in-family","White","Female",0,0,40,1
"22980",24348,38,"Private",192930,9,"Separated","Sales","Unmarried","White","Female",0,0,10,0
"4317",4624,17,"Private",181580,7,"Never-married","Other-service","Own-child","White","Female",0,0,16,0
"18367",19458,53,"Private",217568,9,"Widowed","Craft-repair","Unmarried","Black","Female",0,0,40,0
"9355",9940,43,"Federal-gov",325706,15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,50,1
"11942",12681,43,"Private",137126,10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,1
"26452",28027,44,"Private",151294,10,"Widowed","Sales","Not-in-family","White","Female",0,0,25,0
"8185",8700,48,"Local-gov",238959,14,"Divorced","Exec-managerial","Unmarried","Black","Female",9562,0,40,1
"21172",22440,32,"Private",316589,13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,1
"28010",29675,27,"Private",107812,13,"Married-civ-spouse","Sales","Other-relative","White","Male",0,0,40,1
"14926",15820,23,"Private",353696,9,"Never-married","Farming-fishing","Own-child","White","Male",0,0,40,0
"22643",23991,31,"Self-emp-not-inc",216283,12,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,35,1
"18735",19849,26,"Private",109570,10,"Separated","Sales","Unmarried","White","Female",0,0,35,0
"10017",10636,36,"Federal-gov",184556,13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,0
"14116",14965,23,"Private",413345,13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,60,0
"17335",18369,27,"Private",104917,11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"18221",19304,31,"Private",200246,5,"Never-married","Other-service","Own-child","White","Male",0,0,40,0
"2429",2600,60,"Private",76127,12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,35,1
"19396",20553,33,"Local-gov",220430,13,"Married-civ-spouse","Protective-serv","Husband","Black","Male",0,0,70,1
"13602",14421,51,"State-gov",454063,16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,40,1
