"","Survived","Pclass","Sex","Age"
"190","0","2","male",24
"266","1","1","female",16
"408","1","1","male",36
"646","0","2","male",39
"144","0","2","male",30
"637","0","3","female",30
"669","0","3","male",21
"468","0","3","male",35
"445","1","3","female",36
"44","1","2","female",5
"146","0","3","male",9
"125","0","3","male",40.5
"483","0","3","female",39
"270","0","1","male",29
"539","1","1","male",27
"348","0","1","male",50
"501","1","1","male",32
"692","1","2","female",42
"265","1","3","female",31
"541","0","3","male",14
"649","0","3","male",39
"148","1","3","female",4
"451","1","3","male",32
"87","0","3","female",14.5
"185","0","2","male",18
"267","0","1","male",45.5
"10","1","3","female",4
"263","0","3","male",61
"597","0","3","male",31
"234","1","3","female",22
"330","1","2","male",3
"410","0","3","male",24
"337","0","3","female",10
"127","1","3","female",16
"563","1","1","male",42
"454","1","1","male",36
"700","1","2","female",28
"74","0","3","male",59
"490","0","3","male",27
"278","0","2","male",36
"554","0","1","male",49
"436","0","3","male",33
"527","0","2","male",32
"372","0","2","male",48
"355","0","3","male",20
"529","0","3","male",43
"16","0","3","male",2
"319","0","3","female",31
"488","1","2","female",4
"461","1","1","female",39
"318","0","3","male",22
"571","1","2","female",27
"291","0","3","female",45
"162","0","3","male",45.5
"47","1","1","female",38
"66","1","3","female",33
"209","1","1","female",35
"341","0","3","male",18
"435","1","2","female",19
"689","0","2","male",21
"598","1","2","female",4
"192","1","2","female",8
"300","0","3","female",3
"217","1","1","female",58
"424","0","3","female",30
"168","1","1","male",40
"311","1","2","female",36
"496","0","2","male",57
"55","0","3","female",16
"565","1","1","female",24
"219","1","3","male",25
"540","0","3","male",20
"223","0","3","female",45
"214","0","2","male",36
"305","1","1","female",42
"663","1","1","female",62
"552","0","2","male",52
"249","1","1","female",18
"495","0","1","male",61
"610","1","1","female",36
"276","0","2","male",28
"452","1","2","male",62
"253","1","3","female",26
"206","0","3","female",41
"477","1","1","male",35
"128","0","3","male",30
"447","0","2","male",28
"77","1","2","female",34
"154","1","3","female",19
"90","0","3","female",17
"150","0","3","male",40
"37","0","3","male",7
"400","0","3","female",21
"545","0","3","male",19
"702","0","3","male",20
"494","0","3","male",21
"282","0","3","male",42
"254","1","2","female",24
"500","0","3","male",51
"373","0","3","male",38
"403","0","1","male",18
"651","0","3","female",6
"166","1","3","male",26
"607","1","1","female",33
"387","1","1","male",25
"130","1","2","female",40
"79","0","3","female",28
"662","1","2","male",1
"560","0","3","male",26
"363","0","2","male",36
"590","1","1","female",21
"442","0","1","male",62
"215","0","3","male",16
"260","1","2","female",30
"89","0","3","female",20
"8","1","3","female",27
"428","1","1","female",22
"62","0","3","male",22
"713","1","1","male",26
"381","0","3","male",29
"604","0","3","male",28
"294","1","1","female",60
"287","1","1","female",22
"103","0","3","male",33
"446","0","3","male",40
"268","0","1","male",38
"301","1","3","female",22
"122","0","2","male",51
"134","1","3","male",9
"349","1","1","female",14
"336","0","2","male",30
"45","0","3","male",11
"21","1","1","male",28
"374","0","1","male",56
"678","0","2","male",28
"347","0","3","male",17
"325","0","3","female",21
"304","0","3","male",19
"568","0","2","male",52
"292","0","3","male",35
"392","0","3","male",21
"345","1","1","male",28
"137","0","1","male",61
"693","1","2","female",27
"416","0","3","male",22
"258","0","3","male",22
"100","1","3","male",12
"650","0","2","male",35
"60","1","2","male",0.83
"489","0","2","male",26
"579","1","2","female",30
"314","1","3","male",21
"690","1","1","female",48
"255","0","2","male",54
"281","1","3","male",3
"102","0","3","male",45
"296","1","1","male",25
"42","1","2","female",21
"155","1","2","male",3
"119","0","3","female",9
"158","0","3","male",42
"636","0","3","male",30
"247","1","1","female",30
"430","0","3","female",9
"485","1","2","female",24
"227","0","3","male",28
"35","1","3","female",19
"184","0","3","male",20.5
"396","1","1","female",54
"562","1","2","female",45
"343","1","2","female",19
"457","1","2","female",34
"465","0","2","male",47
"212","0","1","male",52
"631","0","2","male",16
"620","1","3","female",5
"564","1","1","female",22
"398","0","3","male",24
"578","0","3","male",20
"484","0","3","male",35
"157","1","1","female",58
"559","0","3","male",25
"472","0","3","male",36
"589","0","1","male",36
"542","0","2","male",60
"101","1","3","male",24
"401","0","3","female",37
"382","0","3","male",22
"497","1","1","female",21
"288","0","2","female",38
"615","0","3","male",24
"204","0","1","male",62
"53","0","3","male",26
"535","0","3","male",24.5
"639","1","2","female",31
"307","0","3","male",32
"58","1","3","male",32
"656","0","3","male",10
"165","0","3","male",32
"404","1","2","female",33
"138","0","3","male",4
"113","1","3","female",22
"696","0","3","male",26
"514","1","3","female",23
"93","0","2","male",29
"264","1","2","female",36
"286","0","3","male",28
"659","0","1","male",38
"609","1","3","male",20
"605","0","2","male",18
"550","0","3","male",25
"51","0","3","male",19
"384","0","3","male",9
"475","1","2","female",24
"683","0","2","female",44
"626","0","3","male",25
"324","0","3","male",26
"474","1","1","male",49
"526","1","3","male",20
"169","0","3","male",24
"506","0","3","female",41
"82","0","3","male",37
"159","0","2","female",24
"251","0","3","male",28
"453","1","1","female",53
"250","0","2","female",26
"126","0","1","male",51
"23","1","3","female",38
"523","0","3","male",40
"415","1","1","female",30
"553","0","3","male",44
"64","0","1","male",28
"181","1","1","male",38
"577","1","1","male",27
"188","0","2","male",59
"331","0","3","male",21
"684","1","3","female",18
"512","0","3","male",19
"205","0","3","male",30
"216","1","3","male",25
"704","1","1","female",56
"274","1","2","male",2
"551","0","1","male",60
"68","1","1","female",23
"196","0","3","male",22
"99","0","1","male",54
"201","1","1","male",37
"686","1","1","male",51
"602","1","2","female",48
"439","0","2","male",27
"354","1","2","female",45
"432","1","2","male",32
"218","1","1","female",35
"279","1","2","female",24
"224","0","3","male",7
"50","1","2","female",29
"114","1","3","female",24
"228","0","3","male",16
"171","0","3","male",22
"426","0","1","male",45
"238","0","3","female",24
"710","0","3","female",39
"666","0","3","male",23
"356","0","3","male",25
"317","1","3","female",24
"75","0","1","male",71
"29","0","3","male",21
"338","0","3","male",21
"277","0","2","male",25
"76","1","1","male",23
"28","0","1","male",42
"49","0","3","male",4
"521","0","1","male",58
"449","0","3","male",19
"132","0","3","male",17
"85","0","3","male",38
"513","1","1","male",56
"80","0","1","male",21
"658","1","3","male",27
"584","0","2","male",23
"13","0","3","male",39
"229","1","3","male",19
"595","1","2","female",30
"161","0","3","male",34
"582","1","1","female",29
"566","1","1","male",48
"511","1","1","male",48
"67","0","3","male",16
"57","0","3","male",26
"95","0","3","female",2
"96","0","2","male",21
"56","0","2","male",21
"504","0","3","male",32
"654","0","2","male",31
"213","0","1","male",40
"508","1","1","female",24
"557","1","1","male",35
"459","1","3","male",32
"532","0","2","male",70
"386","1","3","female",63
