"","Survived","Pclass","Sex","Age"
"190","0",2,1,24
"266","1",1,0,16
"408","1",1,1,36
"646","0",2,1,39
"144","0",2,1,30
"637","0",3,0,30
"669","0",3,1,21
"468","0",3,1,35
"445","1",3,0,36
"44","1",2,0,5
"146","0",3,1,9
"125","0",3,1,40.5
"483","0",3,0,39
"270","0",1,1,29
"539","1",1,1,27
"348","0",1,1,50
"501","1",1,1,32
"692","1",2,0,42
"265","1",3,0,31
"541","0",3,1,14
"649","0",3,1,39
"148","1",3,0,4
"451","1",3,1,32
"87","0",3,0,14.5
"185","0",2,1,18
"267","0",1,1,45.5
"10","1",3,0,4
"263","0",3,1,61
"597","0",3,1,31
"234","1",3,0,22
"330","1",2,1,3
"410","0",3,1,24
"337","0",3,0,10
"127","1",3,0,16
"563","1",1,1,42
"454","1",1,1,36
"700","1",2,0,28
"74","0",3,1,59
"490","0",3,1,27
"278","0",2,1,36
"554","0",1,1,49
"436","0",3,1,33
"527","0",2,1,32
"372","0",2,1,48
"355","0",3,1,20
"529","0",3,1,43
"16","0",3,1,2
"319","0",3,0,31
"488","1",2,0,4
"461","1",1,0,39
"318","0",3,1,22
"571","1",2,0,27
"291","0",3,0,45
"162","0",3,1,45.5
"47","1",1,0,38
"66","1",3,0,33
"209","1",1,0,35
"341","0",3,1,18
"435","1",2,0,19
"689","0",2,1,21
"598","1",2,0,4
"192","1",2,0,8
"300","0",3,0,3
"217","1",1,0,58
"424","0",3,0,30
"168","1",1,1,40
"311","1",2,0,36
"496","0",2,1,57
"55","0",3,0,16
"565","1",1,0,24
"219","1",3,1,25
"540","0",3,1,20
"223","0",3,0,45
"214","0",2,1,36
"305","1",1,0,42
"663","1",1,0,62
"552","0",2,1,52
"249","1",1,0,18
"495","0",1,1,61
"610","1",1,0,36
"276","0",2,1,28
"452","1",2,1,62
"253","1",3,0,26
"206","0",3,0,41
"477","1",1,1,35
"128","0",3,1,30
"447","0",2,1,28
"77","1",2,0,34
"154","1",3,0,19
"90","0",3,0,17
"150","0",3,1,40
"37","0",3,1,7
"400","0",3,0,21
"545","0",3,1,19
"702","0",3,1,20
"494","0",3,1,21
"282","0",3,1,42
"254","1",2,0,24
"500","0",3,1,51
"373","0",3,1,38
"403","0",1,1,18
"651","0",3,0,6
"166","1",3,1,26
"607","1",1,0,33
"387","1",1,1,25
"130","1",2,0,40
"79","0",3,0,28
"662","1",2,1,1
"560","0",3,1,26
"363","0",2,1,36
"590","1",1,0,21
"442","0",1,1,62
"215","0",3,1,16
"260","1",2,0,30
"89","0",3,0,20
"8","1",3,0,27
"428","1",1,0,22
"62","0",3,1,22
"713","1",1,1,26
"381","0",3,1,29
"604","0",3,1,28
"294","1",1,0,60
"287","1",1,0,22
"103","0",3,1,33
"446","0",3,1,40
"268","0",1,1,38
"301","1",3,0,22
"122","0",2,1,51
"134","1",3,1,9
"349","1",1,0,14
"336","0",2,1,30
"45","0",3,1,11
"21","1",1,1,28
"374","0",1,1,56
"678","0",2,1,28
"347","0",3,1,17
"325","0",3,0,21
"304","0",3,1,19
"568","0",2,1,52
"292","0",3,1,35
"392","0",3,1,21
"345","1",1,1,28
"137","0",1,1,61
"693","1",2,0,27
"416","0",3,1,22
"258","0",3,1,22
"100","1",3,1,12
"650","0",2,1,35
"60","1",2,1,0.83
"489","0",2,1,26
"579","1",2,0,30
"314","1",3,1,21
"690","1",1,0,48
"255","0",2,1,54
"281","1",3,1,3
"102","0",3,1,45
"296","1",1,1,25
"42","1",2,0,21
"155","1",2,1,3
"119","0",3,0,9
"158","0",3,1,42
"636","0",3,1,30
"247","1",1,0,30
"430","0",3,0,9
"485","1",2,0,24
"227","0",3,1,28
"35","1",3,0,19
"184","0",3,1,20.5
"396","1",1,0,54
"562","1",2,0,45
"343","1",2,0,19
"457","1",2,0,34
"465","0",2,1,47
"212","0",1,1,52
"631","0",2,1,16
"620","1",3,0,5
"564","1",1,0,22
"398","0",3,1,24
"578","0",3,1,20
"484","0",3,1,35
"157","1",1,0,58
"559","0",3,1,25
"472","0",3,1,36
"589","0",1,1,36
"542","0",2,1,60
"101","1",3,1,24
"401","0",3,0,37
"382","0",3,1,22
"497","1",1,0,21
"288","0",2,0,38
"615","0",3,1,24
"204","0",1,1,62
"53","0",3,1,26
"535","0",3,1,24.5
"639","1",2,0,31
"307","0",3,1,32
"58","1",3,1,32
"656","0",3,1,10
"165","0",3,1,32
"404","1",2,0,33
"138","0",3,1,4
"113","1",3,0,22
"696","0",3,1,26
"514","1",3,0,23
"93","0",2,1,29
"264","1",2,0,36
"286","0",3,1,28
"659","0",1,1,38
"609","1",3,1,20
"605","0",2,1,18
"550","0",3,1,25
"51","0",3,1,19
"384","0",3,1,9
"475","1",2,0,24
"683","0",2,0,44
"626","0",3,1,25
"324","0",3,1,26
"474","1",1,1,49
"526","1",3,1,20
"169","0",3,1,24
"506","0",3,0,41
"82","0",3,1,37
"159","0",2,0,24
"251","0",3,1,28
"453","1",1,0,53
"250","0",2,0,26
"126","0",1,1,51
"23","1",3,0,38
"523","0",3,1,40
"415","1",1,0,30
"553","0",3,1,44
"64","0",1,1,28
"181","1",1,1,38
"577","1",1,1,27
"188","0",2,1,59
"331","0",3,1,21
"684","1",3,0,18
"512","0",3,1,19
"205","0",3,1,30
"216","1",3,1,25
"704","1",1,0,56
"274","1",2,1,2
"551","0",1,1,60
"68","1",1,0,23
"196","0",3,1,22
"99","0",1,1,54
"201","1",1,1,37
"686","1",1,1,51
"602","1",2,0,48
"439","0",2,1,27
"354","1",2,0,45
"432","1",2,1,32
"218","1",1,0,35
"279","1",2,0,24
"224","0",3,1,7
"50","1",2,0,29
"114","1",3,0,24
"228","0",3,1,16
"171","0",3,1,22
"426","0",1,1,45
"238","0",3,0,24
"710","0",3,0,39
"666","0",3,1,23
"356","0",3,1,25
"317","1",3,0,24
"75","0",1,1,71
"29","0",3,1,21
"338","0",3,1,21
"277","0",2,1,25
"76","1",1,1,23
"28","0",1,1,42
"49","0",3,1,4
"521","0",1,1,58
"449","0",3,1,19
"132","0",3,1,17
"85","0",3,1,38
"513","1",1,1,56
"80","0",1,1,21
"658","1",3,1,27
"584","0",2,1,23
"13","0",3,1,39
"229","1",3,1,19
"595","1",2,0,30
"161","0",3,1,34
"582","1",1,0,29
"566","1",1,1,48
"511","1",1,1,48
"67","0",3,1,16
"57","0",3,1,26
"95","0",3,0,2
"96","0",2,1,21
"56","0",2,1,21
"504","0",3,1,32
"654","0",2,1,31
"213","0",1,1,40
"508","1",1,0,24
"557","1",1,1,35
"459","1",3,1,32
"532","0",2,1,70
"386","1",3,0,63
"665","1",2,1,0.83
"40","1",2,0,29
"203","0",3,0,29
"714","0",3,1,32
"499","1",1,1,80
"406","1",3,1,26
"72","0",1,1,46
"332","1",1,0,33
"444","1",1,0,39
"163","1",3,1,18
"518","0",2,1,24
"78","0",2,1,34
"339","0",3,1,29
"289","0",3,1,40
"107","0",2,1,25
"198","0",1,1,44
"34","1",2,0,3
"141","0",1,1,56
"502","0",3,0,9
"638","0",2,1,34
"262","1",1,0,36
"123","1",1,0,22
"160","0",3,1,28
"390","0",3,1,30
"334","1",2,0,34
"371","0",1,1,47
"316","1",1,0,23
"303","0",3,1,20
"104","0",3,1,20
"593","0",1,1,70
"379","0",3,0,22
"438","1",1,1,17
"153","0",2,1,19
"310","0",3,1,1
"30","0",3,0,18
"421","0",2,1,23
"694","0",1,1,31
"429","1",1,0,36
"644","0",1,1,39
"364","0",1,1,30
"389","0",1,1,58
"507","0",3,1,20
"202","0",2,1,54
"143","0",1,0,50
"491","1",1,1,42
"576","0",2,1,50
"173","1",1,0,31
"580","0",2,1,25
"136","0",3,1,28
"630","0",1,1,46
"177","0",2,1,30
"24","0",1,1,19
"285","0",3,1,25
"152","1",2,0,32
"464","1",1,0,18
"533","1",2,1,31
"481","1",2,0,22
"380","0",2,1,34
"388","1",1,0,35
"378","1",2,0,23
"39","1",1,0,49
"118","1",3,1,27
"295","1",1,0,24
