"","X","age","workclass","fnlwgt","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","income"
"8156",8668,36,"Private",214604,13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,42,1
"11431",12142,46,"Self-emp-inc",120131,15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,60,1
"17596",18646,21,"Private",240063,10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,25,0
"27896",29556,38,"Private",245372,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,45,1
"6195",6601,33,"Private",198660,13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,0
"27593",29234,23,"Private",32616,13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,20,0
"29013",30741,42,"State-gov",333530,10,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,1
"20294",21509,25,"Private",295919,12,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,0
"19321",20472,40,"Private",442045,10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,1
"1898",2021,24,"Local-gov",33432,12,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,0
"6326",6738,42,"Private",50018,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,0
"5422",5796,35,"Private",348690,13,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,0
"21096",22357,19,"Private",69182,10,"Never-married","Other-service","Own-child","White","Female",0,0,27,0
"11794",12526,63,"Self-emp-not-inc",147140,4,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,60,1
"23638",25044,45,"Private",140644,9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,0
"15281",16198,68,"Private",121846,4,"Widowed","Other-service","Unmarried","Amer-Indian-Eskimo","Female",0,0,20,0
"22033",23346,19,"Private",185097,9,"Never-married","Handlers-cleaners","Not-in-family","White","Female",0,0,37,0
"30453",32279,55,"Private",89182,8,"Divorced","Machine-op-inspct","Not-in-family","White","Female",0,0,40,0
"11668",12393,24,"Private",304602,9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,0
"23867",25290,33,"Private",181388,9,"Separated","Other-service","Unmarried","White","Female",0,0,40,0
"28694",30395,61,"Private",172037,9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,0
"6513",6934,29,"Private",224858,10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,0
"20004",21200,35,"Private",172571,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,0
"3854",4125,25,"Private",511331,13,"Never-married","Sales","Not-in-family","White","Male",0,0,38,0
"8203",8718,64,"State-gov",114650,5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,0
"11851",12585,42,"Federal-gov",108183,14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,1902,40,1
"411",436,33,"Private",208405,14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,1
"11736",12466,49,"Private",140121,9,"Divorced","Exec-managerial","Unmarried","White","Male",0,0,50,0
"26691",28282,35,"Private",243357,7,"Separated","Other-service","Unmarried","Black","Female",0,0,40,0
"10445",11097,36,"Private",89202,13,"Never-married","Prof-specialty","Own-child","White","Male",0,0,50,0
"14795",15683,21,"Private",50411,9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,40,0
"18399",19492,23,"Private",123983,11,"Never-married","Prof-specialty","Own-child","Asian-Pac-Islander","Male",0,0,40,0
"15145",16047,58,"Private",118303,9,"Widowed","Sales","Not-in-family","White","Female",0,0,35,1
"5715",6102,25,"Local-gov",90730,13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,1
