"name","lng","lat","state","sector_label"
"A T Still University of Health Sciences",-92.589183,40.193648,"MO","Private"
"Abilene Christian University",-99.70954,32.46915,"TX","Private"
"Abraham Baldwin Agricultural College",-83.528281,31.481889,"GA","Public"
"Academy College",-93.299681,44.85621,"MN","For-Profit"
"Academy for Five Element Acupuncture",-82.321994,29.650075,"FL","Private"
"Academy for Jewish Religion-California",-118.293261,34.06089,"CA","Private"
"Academy of Art University",-122.400686,37.787748,"CA","For-Profit"
"Academy of Chinese Culture and Health Sciences",-122.272733,37.806662,"CA","Private"
"Academy of Vocal Arts",-75.173683,39.947863,"PA","Private"
"Acupuncture and Integrative Medicine College-Berkeley",-122.267636,37.862754,"CA","Private"
"Acupuncture and Massage College",-80.3645,25.68625,"FL","For-Profit"
"Adams State University",-105.880943,37.477238,"CO","Public"
"Adelphi University",-73.653321,40.721439,"NY","Private"
"Adler Graduate School",-93.252532,44.862865,"MN","Private"
"Adler University",-87.628651,41.88232,"IL","Private"
"Adrian College",-84.059947,41.898449,"MI","Private"
"Adventist University of Health Sciences",-81.367687,28.576142,"FL","Private"
"Agnes Scott College",-84.29563,33.769996,"GA","Private"
"AI Miami International University of Art and Design",-80.18839,25.790008,"FL","For-Profit"
"AIB College of Business",-93.645694,41.561953,"IA","Private"
"Air Force Institute of Technology-Graduate School of Engineering & Management",-84.087246,39.780663,"OH","Public"
"Alabama A & M University",-86.568502,34.783368,"AL","Public"
"Alabama College of Osteopathic Medicine",-85.340726,31.206182,"AL","Private"
"Alabama State University",-86.295677,32.364317,"AL","Public"
"Alaska Bible College",-149.111341,61.59843,"AK","Private"
"Alaska Pacific University",-149.804242,61.191235,"AK","Private"
"Albany College of Pharmacy and Health Sciences",-73.778132,42.652559,"NY","Private"
"Albany Law School",-73.777692,42.651264,"NY","Private"
"Albany Medical College",-73.773975,42.653178,"NY","Private"
"Albany State University",-84.14306,31.571395,"GA","Public"
"Albertus Magnus College",-72.923848,41.332519,"CT","Private"
"Albion College",-84.746088,42.244603,"MI","Private"
"Albright College",-75.910152,40.360248,"PA","Private"
"Alcorn State University",-91.142854,31.877216,"MS","Public"
"Alderson Broaddus University",-80.047728,39.158067,"WV","Private"
"Alfred University",-77.788625,42.255866,"NY","Private"
"Alice Lloyd College",-82.875068,37.335087,"KY","Private"
"Allegheny College",-80.146922,41.648068,"PA","Private"
"Allegheny Wesleyan College",-80.860091,40.867236,"OH","Private"
"Allen College",-92.338018,42.531427,"IA","Private"
"Allen University",-81.020045,34.010348,"SC","Private"
"Alliant International University-San Diego",-117.094398,32.897056,"CA","For-Profit"
"Allied American University",-117.729441,33.62312,"CA","For-Profit"
"Alma College",-84.670073,43.379236,"MI","Private"
"Alpena Community College",-83.445069,45.081647,"MI",NA
"Alvernia University",-75.938163,40.3102,"PA","Private"
"Alverno College",-87.965498,42.983518,"WI","Private"
"Amberton University",-96.653028,32.859937,"TX","Private"
"Ambria College of Nursing",-88.210415,42.07543,"IL","For-Profit"
"American Academy of Acupuncture and Oriental Medicine",-93.181424,45.015783,"MN","For-Profit"
"American Academy of Art",-87.624396,41.877824,"IL","Private"
"American Baptist College",-86.789301,36.201155,"TN","Private"
"American Baptist Seminary of the West",-122.256149,37.865252,"CA","Private"
"American Business and Technology University",-94.820001,39.77911,"MO","For-Profit"
"American College for Medical Careers",-81.402904,28.470194,"FL","For-Profit"
"American College of Acupuncture and Oriental Med",-95.524522,29.735747,"TX","For-Profit"
"American College of Education",-86.160141,39.76982,"IN","For-Profit"
"American College of Financial Services",-75.326655,40.018084,"PA","Private"
"American College of Healthcare Sciences",-122.675831,45.48682,"OR","For-Profit"
"American College of Traditional Chinese Medicine",-122.398242,37.760503,"CA","Private"
"American Conservatory Theater",-122.404945,37.787326,"CA","Private"
"American Film Institute Conservatory",-118.309989,34.10846,"CA","Private"
"American Indian College Inc",-112.092247,33.577738,"AZ","Private"
"American InterContinental University-Atlanta",-84.355243,33.936128,"GA","For-Profit"
"American InterContinental University-Houston",-95.548309,29.728221,"TX","For-Profit"
"American InterContinental University-Online",-88.032611,42.03314,"IL","For-Profit"
"American International College",-72.558507,42.112708,"MA","Private"
"AMERICAN ISLAMIC COLLEGE",-87.646781,41.95494,"IL","Private"
"American Jewish University",-118.471764,34.128099,"CA","Private"
"American Musical and Dramatic Academy",-73.982249,40.780142,"NY","Private"
"American National University",-80.023597,37.299714,"VA","For-Profit"
"American National University-Columbus",-82.945951,40.084811,"OH","For-Profit"
"American National University-Lexington",-84.419122,38.028845,"KY","For-Profit"
"American Public University System",-77.859781,39.288383,"WV","For-Profit"
"American Samoa Community College",-170.742728,-14.322587,"AS","Public"
"American Sentinel University",-104.831151,39.67657,"CO","For-Profit"
"American University",-77.090106,38.937802,"DC","Private"
"American University of Health Sciences",-118.171442,33.797115,"CA","For-Profit"
"American University of Puerto Rico",-66.18678,18.406139,"PR","Private"
"American University of Puerto Rico",-66.478655,18.434072,"PR","Private"
"AmeriTech College-Draper",-111.892792,40.527932,"UT","For-Profit"
"Amherst College",-72.518493,42.372459,"MA","Private"
"Amridge University",-86.17401,32.362609,"AL","Private"
"Anabaptist Mennonite Biblical Seminary",-85.972222,41.656093,"IN","Private"
"Anderson University",-85.662292,40.112167,"IN","Private"
"Anderson University",-82.640205,34.515506,"SC","Private"
"Andover Newton Theological School",-71.189586,42.324729,"MA","Private"
"Andrews University",-86.356866,41.962914,"MI","Private"
"Angeles College",-118.299091,34.06051,"CA","For-Profit"
"Angelo State University",-100.466495,31.44145,"TX","Public"
"Anna Maria College",-71.918961,42.33055,"MA","Private"
"Antelope Valley College",-118.186166,34.676207,"CA",NA
"Antioch College",-83.889793,39.800282,"OH","Private"
"Antioch University Online",-83.905864,39.803281,"OH","Private"
"Antioch University-Los Angeles",-118.384651,33.98764,"CA","Private"
"Antioch University-Midwest",-83.892094,39.795828,"OH","Private"
"Antioch University-New England",-72.293798,42.932344,"NH","Private"
"Antioch University-PhD Program in Leadership and Change",-83.908261,39.80278,"OH","Private"
"Antioch University-Santa Barbara",-119.695767,34.419007,"CA","Private"
"Antioch University-Seattle",-122.342647,47.61696,"WA","Private"
"AOMA Graduate School of Integrative Medicine",-97.800881,30.22869,"TX","For-Profit"
"Apex School of Theology",-78.841041,35.92314,"NC","Private"
"Appalachian Bible College",-81.20115,37.853339,"WV","Private"
"Appalachian College of Pharmacy",-82.005227,37.211496,"VA","Private"
"Appalachian School of Law",-82.096426,37.278007,"VA","Private"
"Appalachian State University",-81.680234,36.214844,"NC","Public"
"Aquinas College",-85.626166,42.960449,"MI","Private"
"Aquinas College",-86.844214,36.132187,"TN","Private"
"Aquinas Institute of Theology",-90.237365,38.635008,"MO","Private"
"Arcadia University",-75.165205,40.091941,"PA","Private"
"Argosy University-Atlanta",-84.356001,33.92006,"GA","For-Profit"
"Argosy University-Chicago",-87.623772,41.886006,"IL","For-Profit"
"Argosy University-Dallas",-96.823046,32.926742,"TX","For-Profit"
"Argosy University-Denver",-104.901681,39.65615,"CO","For-Profit"
"Argosy University-Hawaii",-157.860916,21.308026,"HI","For-Profit"
"Argosy University-Inland Empire",-117.578381,34.06641,"CA","For-Profit"
"Argosy University-Los Angeles",-118.373038,33.927857,"CA","For-Profit"
"Argosy University-Nashville",-86.634674,36.154664,"TN","For-Profit"
"Argosy University-Orange County",-117.897468,33.779113,"CA","For-Profit"
"Argosy University-Phoenix",-112.107455,33.5669,"AZ","For-Profit"
