"zipcode","returns","income","mean_income"
"28207",4470,2462295000,550848.993288591
"28211",14060,3317607000,235960.6685633
"27608",5690,1125055000,197724.956063269
"28480",1510,241022000,159617.218543046
"27517",12710,1966011000,154682.218725413
"27614",15670,2408012000,153670.197830249
"28173",21880,3157328000,144302.010968921
"28036",7640,1090531000,142739.659685864
"27408",9100,1285022000,141211.208791209
"28226",19240,2703856000,140533.056133056
"27518",10210,1365171000,133709.206660137
"28031",13940,1821502000,130667.288378766
"28117",19240,2494596000,129656.756756757
"28277",31000,3969519000,128049
"27358",6300,796824000,126480
"27104",14730,1834414000,124535.913102512
"27514",11020,1365858000,123943.557168784
"27519",23490,2901456000,123518.77394636
"27310",3470,424675000,122384.726224784
"28104",13590,1585025000,116631.714495953
"28210",23190,2672356000,115237.429926693
"28374",8170,920700000,112692.778457772
"28270",15250,1700656000,111518.426229508
"28203",9510,1055208000,110957.728706625
"28202",7230,773334000,106961.825726141
"27513",21450,2289753000,106748.391608392
"27516",16720,1763469000,105470.633971292
"28209",11660,1219542000,104591.938250429
"27023",5870,609817000,103887.052810903
"27607",9610,969899000,100926.014568158
"28668",140,14120000,100857.142857143
"27615",22300,2243261000,100594.66367713
"27539",10120,1001584000,98970.7509881423
"28037",9460,922770000,97544.3974630021
"28682",600,58286000,97143.3333333333
"27613",22730,2185280000,96140.7831060273
"27455",13510,1288524000,95375.5736491488
"28078",26470,2493222000,94190.4797884397
"27927",520,48963000,94159.6153846154
"27502",16870,1564269000,92724.8962655602
"28204",3600,332968000,92491.1111111111
"28605",1870,171724000,91831.0160427807
"27609",18050,1645189000,91146.2049861496
"27612",20450,1863920000,91145.2322738386
"27587",27480,2494299000,90767.7947598253
"27503",1690,153275000,90695.2662721893
"27540",15120,1356075000,89687.5
"27235",2150,191502000,89070.6976744186
"28409",14720,1310271000,89012.9755434783
"27523",4580,406971000,88858.2969432314
"27006",6650,587204000,88301.3533834586
"28278",11880,1048888000,88290.2356902357
"28469",3480,306642000,88115.5172413793
"27617",10380,914089000,88062.5240847784
"28804",10260,897007000,87427.5828460039
"27560",14540,1264395000,86959.7661623109
"28673",2840,245290000,86369.7183098591
"28741",1670,143757000,86082.0359281437
"27106",20860,1774543000,85069.1754554171
"27605",3430,291495000,84983.9650145773
"28032",1530,129381000,84562.7450980392
"27981",750,62899000,83865.3333333333
"28075",8500,709509000,83471.6470588235
"28594",2100,174957000,83312.8571428571
"27312",9530,793128000,83224.3441762854
"27012",12850,1062626000,82694.6303501946
"28449",960,79140000,82437.5
"27571",2840,233896000,82357.7464788732
"28305",2910,239119000,82171.4776632302
"27949",4280,349530000,81665.8878504673
"28803",15170,1230888000,81139.6176664469
"27527",10060,815348000,81048.5089463221
"27410",26910,2173798000,80780.3047194352
"28461",9510,767944000,80751.2092534175
"28101",270,21258000,78733.3333333333
"27712",10310,805935000,78170.2230843841
"28571",1290,100832000,78164.3410852713
"27705",20870,1626301000,77925.2994729277
"28717",1150,89104000,77481.7391304348
"27562",870,67391000,77460.9195402299
"27278",11920,922633000,77402.0973154362
"28105",19560,1502797000,76830.1124744376
"27511",16450,1263576000,76813.1306990881
"28411",16370,1251191000,76431.9486866219
"27929",700,52905000,75578.5714285714
"27282",7320,547253000,74761.3387978142
"28512",1620,119548000,73795.0617283951
"28387",6810,495905000,72820.1174743025
"28012",10430,758001000,72675.0719079578
"27713",25710,1864241000,72510.3461688059
"28774",420,30095000,71654.7619047619
"28731",3980,282699000,71029.8994974874
"28405",15410,1087262000,70555.613238157
"27526",20770,1455342000,70069.4270582571
