"","Atlanta","Chicago","Connecticut","Dallas","Indiana","Los.Angeles","Minnesota","New.York","Phoenix","San.Antonio","Seattle","Washington"
"Atlanta",33,-4,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3
"Chicago",-4,33,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3
"Connecticut",-2,-3,34,-3,-3,-3,-3,-4,-4,-3,-3,-3
"Dallas",-3,-3,-3,34,-3,-4,-3,-3,-2,-3,-3,-4
"Indiana",-3,-3,-3,-3,33,-3,-3,-3,-3,-3,-2,-4
"Los.Angeles",-3,-3,-3,-4,-3,41,-8,-3,-6,-3,-2,-3
"Minnesota",-3,-2,-3,-3,-3,-8,41,-3,-4,-3,-3,-6
"New.York",-3,-3,-4,-3,-3,-3,-3,34,-3,-2,-3,-4
"Phoenix",-3,-3,-4,-2,-3,-6,-4,-3,38,-3,-4,-3
"San.Antonio",-3,-3,-3,-3,-3,-3,-3,-2,-3,32,-4,-2
"Seattle",-3,-3,-3,-3,-2,-2,-3,-3,-4,-4,33,-3
"Washington",-3,-3,-3,-4,-4,-3,-6,-4,-3,-2,-3,38
