"","age","net","gun","sex","year","nruns","runs_again"
"1",33,NA,92.4,"M",2007,4,TRUE
"2",30,82.37,85.7,"M",2006,3,FALSE
"3",29,69.32,69.68,"M",2004,4,TRUE
"4",28,79.7,80.42,"M",2002,8,TRUE
"5",33,NA,105.4,"F",2008,3,FALSE
"6",32,111.8,121.2,"M",2006,3,FALSE
"7",22,104.2,104.2,"F",2005,5,TRUE
"8",28,76.57,76.88,"F",2003,4,TRUE
"9",34,89.1,92.05,"M",2001,8,TRUE
"10",57,112.2,114.8,"M",2006,4,TRUE
"11",33,97.62,100.2,"F",2006,4,TRUE
"12",39,78.93,81.72,"M",2005,6,TRUE
"13",44,83.47,85.83,"M",2006,4,TRUE
"14",24,NA,101.5,"M",2007,4,TRUE
"15",31,NA,68.92,"M",2008,3,FALSE
"16",27,NA,97.7,"M",2007,4,TRUE
"17",33,NA,105.5,"M",2008,3,FALSE
"18",17,NA,75.67,"M",2008,3,FALSE
"19",34,75.1,75.32,"M",2001,4,TRUE
"20",29,NA,77.78,"M",2007,4,TRUE
"21",41,NA,84.97,"M",2007,4,TRUE
"22",29,108,115.3,"M",2006,5,TRUE
"23",30,71.85,75.82,"M",2006,3,FALSE
"24",23,63.63,63.68,"M",2004,4,TRUE
"25",31,83.08,87.5,"M",2002,3,FALSE
"26",28,NA,74.48,"M",2007,3,FALSE
"27",35,NA,87.98,"M",2007,4,TRUE
"28",31,83.42,86.27,"M",2003,3,FALSE
"29",28,NA,77.9,"M",2008,3,FALSE
"30",32,NA,84.52,"M",2008,3,FALSE
"31",26,71.55,72.08,"M",2002,8,TRUE
"32",32,NA,82.28,"M",2007,3,FALSE
"33",40,NA,85.37,"F",2007,3,FALSE
"34",58,95.33,97.83,"M",2003,4,TRUE
"35",52,99.63,103.3,"M",2005,3,FALSE
"36",36,NA,68.78,"M",2007,4,TRUE
"37",52,82.93,87.02,"M",2002,3,FALSE
"38",49,110.8,114.6,"F",2005,4,TRUE
"39",53,113.8,119.8,"M",2002,3,FALSE
"40",42,86.93,95.12,"F",2001,5,TRUE
"41",27,86.03,91.33,"F",2005,3,FALSE
"42",33,99.15,100.1,"M",2005,3,FALSE
"43",38,114.4,122.9,"F",2002,8,TRUE
"44",25,94.38,99.4,"F",2001,3,FALSE
"45",31,NA,80.25,"F",2007,3,FALSE
"46",42,NA,74.78,"F",2008,3,FALSE
"47",40,62.77,62.77,"M",2004,4,TRUE
"48",41,75.37,75.77,"M",2001,9,TRUE
"49",51,NA,79.08,"M",2007,4,TRUE
