"","age","net","gun","sex","year","previous","nruns","start_position","orig.id"
"1",54,90,90.28,"F",2004,5,9,"eager",5035
"2",27,74.22,75.08,"M",2001,1,8,"eager",10
"3",24,90.85,93.55,"F",2000,0,4,"calm",9271
"4",39,91.7,95.18,"F",2004,1,3,"mellow",256
"5",52,94.13,99.4,"M",2005,1,4,"mellow",1175
"6",28,99.13,105.6,"M",2003,1,5,"mellow",17334
"7",33,78.98,81.5,"M",2002,1,4,"calm",1571
"8",40,102.6,107.8,"F",2001,1,6,"mellow",5264
"9",32,111.6,116.6,"F",2004,2,3,"mellow",15985
"10",33,100.9,104.6,"F",2005,2,4,"mellow",2237
"11",30,81.37,82.18,"M",2005,4,6,"eager",3178
"12",58,82.63,82.95,"M",2005,5,6,"eager",7999
"13",33,83.32,84.32,"M",2002,0,4,"eager",16462
"14",46,71.17,71.32,"M",2004,5,8,"eager",15443
"15",34,73.62,74.68,"M",2003,1,4,"calm",13318
"16",35,79.32,80.52,"F",2005,0,3,"calm",10409
"17",50,111.5,114.8,"M",2005,3,7,"mellow",8741
"18",60,86.62,87.05,"M",2002,3,8,"eager",5998
"19",30,111.3,115.6,"F",2006,0,3,"mellow",2860
"20",28,69.7,70.17,"M",2006,2,4,"eager",8710
"21",30,66.5,66.75,"M",2005,1,3,"eager",3695
"22",29,65.52,66.07,"M",2003,0,4,"eager",12340
"23",56,99.38,105.2,"F",2004,1,6,"mellow",6598
"24",43,89.52,95.63,"M",2003,1,4,"mellow",6354
"25",62,76.23,81.27,"F",2003,4,5,"mellow",1125
"26",60,79.2,80.13,"M",2003,1,3,"eager",8759
"27",37,59.88,60.02,"M",2003,0,3,"eager",7238
"28",48,124.5,125.1,"F",2006,4,5,"eager",294
"29",27,107.5,107.5,"F",2004,2,4,"eager",2268
"30",32,105.5,110,"F",2002,1,4,"mellow",7219
"31",53,78.1,78.53,"F",2005,4,6,"eager",9154
"32",43,99.22,109.6,"F",2006,1,4,"mellow",5940
"33",41,96.68,102.5,"M",2004,1,5,"mellow",7464
"34",33,59.25,59.43,"M",2005,4,6,"eager",3669
"35",29,94.75,101.1,"F",2004,1,4,"mellow",14729
"36",49,93.45,100.3,"M",2002,1,4,"mellow",11636
