"","x"
"1","al"
"2","ak"
"3","az"
"4","ar"
"5","ca"
"6","co"
"7","ct"
"8","de"
"9","fl"
"10","ga"
"11","hi"
"12","id"
"13","il"
"14","in"
"15","ia"
"16","ks"
"17","ky"
"18","la"
"19","me"
"20","md"
"21","ma"
"22","mi"
"23","mn"
"24","ms"
"25","mo"
"26","mt"
"27","ne"
"28","nv"
"29","nh"
"30","nj"
"31","nm"
"32","ny"
"33","nc"
"34","nd"
"35","oh"
"36","ok"
"37","or"
"38","pa"
"39","ri"
"40","sc"
"41","sd"
"42","tn"
"43","tx"
"44","ut"
"45","vt"
"46","va"
"47","wa"
"48","wv"
"49","wi"
"50","wy"
