"","x"
"1","date"
"2","events"
"3","cloud_cover"
"4","max_dew_point_f"
"5","max_gust_speed_mph"
"6","max_humidity"
"7","max_sea_level_pressure_in"
"8","max_temperature_f"
"9","max_visibility_miles"
"10","max_wind_speed_mph"
"11","mean_humidity"
"12","mean_sea_level_pressure_in"
"13","mean_temperature_f"
"14","mean_visibility_miles"
"15","mean_wind_speed_mph"
"16","mean_dew_point_f"
"17","min_dew_point_f"
"18","min_humidity"
"19","min_sea_level_pressure_in"
"20","min_temperature_f"
"21","min_visibility_miles"
"22","precipitation_in"
"23","wind_dir_degrees"
