"","x"
"1",1.08
"2",-0.4
"3",0.22
"4",0.14
"5",0.69
"6",0.44
"7",-0.43
"8",1.38
"9",0.75
"10",0.88
"11",0.98
"12",0.83
"13",0.61
"14",-1.17
"15",-0.67
"16",-0.66
"17",-0.12
"18",-0.73
"19",-0.27
"20",-0.28
"21",-0.24
"22",1.17
"23",1.38
"24",0.89
"25",-0.3
"26",0.88
"27",0.08
"28",-1.34
"29",0.39
"30",0.52
"31",0
"32",-1.82
"33",-0.79
"34",-0.62
"35",0.37
"36",0.82
"37",-0.23
"38",-1.89
"39",0.38
"40",0.16
"41",1.14
"42",0.1
"43",0.54
"44",0.87
"45",-1.3
"46",0.98
"47",-0.15
"48",0.96
"49",0.92
"50",0.41
"51",0.88
"52",0.63
"53",-0.48
"54",1.53
"55",0.46
"56",0.18
"57",-0.1
"58",-0.06
"59",-1.4
"60",-0.47
"61",-0.03
"62",-0.18
"63",0.34
"64",-1
"65",-0.42
"66",-0.89
"67",0.36
"68",0
"69",0.06
"70",0.11
"71",0.48
"72",1.26
"73",0.62
"74",0.85
"75",0.32
"76",-0.22
"77",-0.37
"78",0.74
"79",1.16
"80",-0.42
"81",-0.01
"82",0.48
"83",0.49
"84",0.53
"85",0
"86",0.06
"87",-0.89
"88",-0.05
"89",0.97
"90",0.59
"91",0.96
"92",1.64
"93",-0.31
"94",-1
"95",0.22
"96",0.47
"97",-0.23
"98",0.35
"99",0.36
"100",0.66
"101",0.16
"102",0.99
"103",-0.18
"104",0.6
"105",0.08
"106",-1.42
"107",0
"108",-0.72
"109",-0.48
"110",-0.01
"111",0.32
"112",-1.39
"113",0.3
"114",-0.34
"115",-0.79
"116",0.58
"117",0.41
"118",-0.65
"119",0.19
"120",0.33
"121",-1.4
"122",0.56
"123",-1.3
"124",-1.09
"125",0.04
"126",0.32
"127",-0.12
"128",-0.58
"129",0.07
"130",0.9
"131",0.89
"132",0.34
"133",0.84
"134",-0.78
"135",0.64
"136",0.23
"137",-1.42
"138",-0.83
"139",-0.16
"140",-0.3
"141",-0.22
"142",1.34
"143",-2.15
"144",1.15
"145",0.16
"146",0.67
"147",-1.26
"148",0.77
"149",0.56
"150",-0.3
"151",-0.17
"152",0.33
"153",0.4
"154",-0.3
"155",-0.04
"156",0
"157",-0.25
"158",-0.78
"159",-0.02
"160",0.04
"161",-0.29
"162",0.49
"163",0.38
"164",-0.87
"165",-0.2
"166",0.36
"167",-0.04
"168",-0.07
"169",-0.07
"170",0.55
"171",0.57
"172",-1.3
"173",-0.06
"174",0.39
"175",-0.28
"176",-1.23
"177",-0.55
"178",0.18
"179",0.41
"180",-1.1
"181",-0.82
"182",-1.3
"183",-2
"184",-1.15
"185",-1.54
"186",-1.57
"187",-1.12
"188",-0.72
"189",0.54
"190",0.2
"191",-0.18
"192",1.11
"193",-0.46
"194",-0.29
"195",1.6
"196",-0.3
"197",-2.15
"198",-1.06
"199",-0.09
"200",0.53
"201",1.03
"202",-2
"203",-0.22
"204",-0.02
"205",0.08
"206",0.25
"207",-0.84
"208",-0.25
